timestamp,patient_id,imei,employee_id,sensor_latlong,sensor_room,rssi,actual_patient_room
2026-02-10T08:00:00,PAT_001,IMEI_IPHONE_X,EMP_01,"-22.809788, -47.059685",Enfermaria,-71.76,Quarto 1
2026-02-10T08:00:07,PAT_001,IMEI_IPHONE_X,EMP_01,"-22.809997, -47.059374",Recepção,-70.04,Arredores
2026-02-10T08:00:11,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809713, -47.059590",Enfermaria,-84.13,Quarto 1
2026-02-10T08:00:19,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809967, -47.059759",Corredor,-75.96,Quarto 1
2026-02-10T08:00:27,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809625, -47.059679",Enfermaria,-83.72,Quarto 2
2026-02-10T08:00:33,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809754, -47.059438",Recepção,-87.26,Quarto 1
2026-02-10T08:00:40,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809896, -47.059546",Arredores,12.04,Quarto 2
2026-02-10T08:00:45,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809683, -47.059694",Corredor,-82.86,Quarto 2
2026-02-10T08:00:50,PAT_001,IMEI_MOTO_G_OLD,EMP_03,"-22.809631, -47.059650",Enfermaria,-88.8,Quarto 1
2026-02-10T08:00:56,PAT_001,IMEI_MOTO_G_OLD,EMP_03,"-22.809636, -47.059709",Enfermaria,-87.4,Quarto 1
2026-02-10T08:01:01,PAT_001,IMEI_IPHONE_X,EMP_01,"-22.809892, -47.059308",Recepção,-78.58,Quarto 1
2026-02-10T08:01:10,PAT_001,IMEI_IPHONE_X,EMP_01,"-22.809695, -47.059695",Enfermaria,-73.79,Quarto 1
2026-02-10T08:01:15,PAT_002,IMEI_IPHONE_X,EMP_01,"-22.809749, -47.059694",Enfermaria,-66.63,Toalete
2026-02-10T08:01:23,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809763, -47.059667",Enfermaria,-86.82,Quarto 2
2026-02-10T08:01:32,PAT_001,IMEI_999999,EMP_EXTERNAL_VISITOR,"-22.809936, -47.059352",Recepção,-89.28,Quarto 1
2026-02-10T08:01:34,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809624, -47.059579",Enfermaria,-85.54,Quarto 1
2026-02-10T08:01:42,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809948, -47.059653",Corredor,-77.02,Quarto 2
2026-02-10T08:01:47,PAT_001,IMEI_MOTO_G_OLD,EMP_03,"-22.809712, -47.059575",Enfermaria,-88.74,Quarto 1
2026-02-10T08:01:49,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809924, -47.059460",Recepção,-86.36,Quarto 1
2026-02-10T08:01:51,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809632, -47.059645",Enfermaria,-68.84,Corredor
2026-02-10T08:02:00,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809839, -47.059381",Recepção,-88.11,Quarto 2
2026-02-10T08:02:04,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809650, -47.059564",Enfermaria,-86.25,Corredor
2026-02-10T08:02:06,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809573, -47.059596",Enfermaria,-88.33,Quarto 2
2026-02-10T08:02:12,PAT_002,IMEI_999999,EMP_EXTERNAL_VISITOR,"-22.809668, -47.059383",Recepção,-78.99,Quarto 2
2026-02-10T08:02:17,PAT_002,IMEI_IPHONE_X,EMP_01,"-22.809702, -47.059797",Arredores,-69.05,Corredor
2026-02-10T08:02:23,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809699, -47.059302",Recepção,-90.31,Quarto 1
2026-02-10T08:02:32,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809603, -47.059651",Enfermaria,-85.37,Quarto 2
2026-02-10T08:02:35,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809757, -47.059588",Enfermaria,-84.52,Quarto 1
2026-02-10T08:02:42,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809794, -47.059598",Enfermaria,-71.5,Quarto 2
2026-02-10T08:02:45,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809642, -47.059438",Recepção,-91.65,Quarto 2
2026-02-10T08:02:50,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809686, -47.059369",Recepção,-87.68,Quarto 1
2026-02-10T08:02:52,PAT_002,IMEI_IPHONE_X,EMP_01,"-22.809702, -47.059700",Enfermaria,-70.3,Quarto 2
2026-02-10T08:02:54,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809879, -47.059364",Recepção,-62.58,Toalete
2026-02-10T08:02:59,PAT_002,IMEI_SAMSUNG_S23,EMP_02,"-22.809729, -47.059698",Enfermaria,-72.39,Quarto 2
2026-02-10T08:03:05,PAT_002,IMEI_IPHONE_X,EMP_01,"-22.809979, -47.059366",Recepção,-80.23,Quarto 2
2026-02-10T08:03:11,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809804, -47.059679",Corredor,-75.26,Quarto 2
2026-02-10T08:03:17,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809752, -47.059661",Enfermaria,-78.39,Quarto 1
2026-02-10T08:03:25,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809960, -47.059764",Corredor,-71.79,Quarto 1
2026-02-10T08:03:31,PAT_001,IMEI_IPHONE_X,EMP_01,"-22.809754, -47.059417",Recepção,-76.87,Quarto 1
2026-02-10T08:03:33,PAT_001,IMEI_IPHONE_X,EMP_01,"-22.809897, -47.059346",Recepção,-78.44,Quarto 1
2026-02-10T08:03:35,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809590, -47.059715",Enfermaria,-89.59,Quarto 2
2026-02-10T08:03:44,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809908, -47.059387",Recepção,-97.23,Quarto 2
2026-02-10T08:03:53,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809617, -47.059413",Recepção,-87.71,Quarto 1
2026-02-10T08:03:56,PAT_002,IMEI_IPHONE_X,EMP_01,"-22.809593, -47.059636",Enfermaria,-77.5,Quarto 2
2026-02-10T08:04:02,PAT_001,IMEI_SAMSUNG_S23,EMP_02,"-22.809663, -47.059621",Corredor,-82.94,Quarto 1
2026-02-10T08:04:08,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809825, -47.059455",Recepção,-86.39,Quarto 2
2026-02-10T08:04:13,PAT_002,IMEI_MOTO_G_OLD,EMP_03,"-22.809838, -47.059296",Recepção,-92.03,Quarto 2
2026-02-10T08:04:20,PAT_002,IMEI_IPHONE_X,EMP_01,"-22.809587, -47.059527",Enfermaria,-76.78,Quarto 2
